InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,transaction_number
536477,100,CHRISTMAS GINGHAM STAR,144,12/1/2010 12:27,0.72,12,United Kingdom,1.0
536477,58,HAND WARMER UNION JACK,12,12/1/2010 12:27,2.1,12,United Kingdom,1.0
536477,61,HAND WARMER RED RETROSPOT,12,12/1/2010 12:27,2.1,12,United Kingdom,1.0
536477,101,REGENCY CAKESTAND 3 TIER,16,12/1/2010 12:27,10.95,12,United Kingdom,1.0
536477,11,JUMBO SHOPPER VINTAGE RED PAISLEY,10,12/1/2010 12:27,1.95,12,United Kingdom,1.0
536500,35,VINTAGE UNION JACK CUSHION COVER,10,12/1/2010 12:35,4.95,13,United Kingdom,1.0
536500,102,POLYESTER FILLER PAD 45x45cm,10,12/1/2010 12:35,1.55,13,United Kingdom,1.0
536500,103,DOLLY GIRL LUNCH BOX,2,12/1/2010 12:35,1.95,13,United Kingdom,1.0
536500,104,PACK OF 12 LONDON TISSUES ,12,12/1/2010 12:35,0.29,13,United Kingdom,1.0
536500,105,CARD DOLLY GIRL ,12,12/1/2010 12:35,0.42,13,United Kingdom,1.0
536500,106,CARD BILLBOARD FONT,12,12/1/2010 12:35,0.42,13,United Kingdom,1.0
536500,107,RAINY LADIES BIRTHDAY CARD,12,12/1/2010 12:35,0.42,13,United Kingdom,1.0
536500,108,GREY HEART HOT WATER BOTTLE,3,12/1/2010 12:35,3.75,13,United Kingdom,1.0
536500,5,RED WOOLLY HOTTIE WHITE HEART.,2,12/1/2010 12:35,3.75,13,United Kingdom,1.0
536500,109, SET 2 TEA TOWELS I LOVE LONDON ,7,12/1/2010 12:35,2.95,13,United Kingdom,1.0
536500,110,SET OF 2 TEA TOWELS APPLE AND PEARS,3,12/1/2010 12:35,2.95,13,United Kingdom,1.0
536500,111,SET/2 RED RETROSPOT TEA TOWELS ,3,12/1/2010 12:35,2.95,13,United Kingdom,1.0
536500,112,LOVE BUILDING BLOCK WORD,6,12/1/2010 12:35,5.95,13,United Kingdom,1.0
536500,113,HOME BUILDING BLOCK WORD,6,12/1/2010 12:35,5.95,13,United Kingdom,1.0
536514,60,HAND WARMER OWL DESIGN,36,12/1/2010 12:40,2.1,14,United Kingdom,1.0
536514,114,SET OF 2 WOODEN MARKET CRATES,4,12/1/2010 12:40,12.75,14,United Kingdom,1.0
536514,115,SET OF 6 T-LIGHTS TOADSTOOLS,6,12/1/2010 12:40,2.95,14,United Kingdom,1.0
536514,58,HAND WARMER UNION JACK,36,12/1/2010 12:40,2.1,14,United Kingdom,1.0
536514,59,HAND WARMER SCOTTY DOG DESIGN,36,12/1/2010 12:40,2.1,14,United Kingdom,1.0
536523,116,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,6,12/1/2010 12:50,4.95,15,United Kingdom,1.0
536523,117,BABUSHKA LIGHTS STRING OF 10,2,12/1/2010 12:50,6.75,15,United Kingdom,1.0
536523,118,FELTCRAFT 6 FLOWER FRIENDS,6,12/1/2010 12:50,2.1,15,United Kingdom,1.0
536523,62,RETROSPOT HEART HOT WATER BOTTLE,3,12/1/2010 12:50,4.95,15,United Kingdom,1.0
536523,91,VICTORIAN SEWING BOX SMALL ,2,12/1/2010 12:50,5.95,15,United Kingdom,1.0
536523,119,HOMEMADE JAM SCENTED CANDLES,12,12/1/2010 12:50,1.45,15,United Kingdom,1.0
536523,120,ROSES REGENCY TEACUP AND SAUCER ,6,12/1/2010 12:50,2.95,15,United Kingdom,1.0
536523,121,T-LIGHT HOLDER HANGING LACE,12,12/1/2010 12:50,1.25,15,United Kingdom,1.0
536523,122,HANGING HEART MIRROR DECORATION ,24,12/1/2010 12:50,0.65,15,United Kingdom,1.0
536523,123,LOVEBIRD HANGING DECORATION WHITE ,12,12/1/2010 12:50,0.85,15,United Kingdom,1.0
536523,124,SCOTTIE DOG HOT WATER BOTTLE,3,12/1/2010 12:50,4.95,15,United Kingdom,1.0
536523,125,HEART FILIGREE DOVE  SMALL,24,12/1/2010 12:50,1.25,15,United Kingdom,1.0
536525,126,EIGHT PIECE DINOSAUR SET,2,12/1/2010 12:54,1.25,16,United Kingdom,1.0
536525,36,VINTAGE HEADS AND TAILS CARD GAME ,1,12/1/2010 12:54,1.25,16,United Kingdom,1.0
536525,127,HEADS AND TAILS SPORTING FUN,1,12/1/2010 12:54,1.25,16,United Kingdom,1.0
536525,118,FELTCRAFT 6 FLOWER FRIENDS,1,12/1/2010 12:54,2.1,16,United Kingdom,1.0
536525,101,REGENCY CAKESTAND 3 TIER,2,12/1/2010 12:54,12.75,16,United Kingdom,1.0
536525,128,ENAMEL MEASURING JUG CREAM,1,12/1/2010 12:54,4.25,16,United Kingdom,1.0
536525,129,ENAMEL FIRE BUCKET CREAM,1,12/1/2010 12:54,6.95,16,United Kingdom,1.0
536525,130,12 PENCILS SMALL TUBE SKULL,3,12/1/2010 12:54,0.65,16,United Kingdom,1.0
536525,131,12 PENCIL SMALL TUBE WOODLAND,2,12/1/2010 12:54,0.65,16,United Kingdom,1.0
536525,132,BLUE PAPER PARASOL ,1,12/1/2010 12:54,2.95,16,United Kingdom,1.0
536525,133,HANGING MEDINA LANTERN SMALL,2,12/1/2010 12:54,2.95,16,United Kingdom,1.0
536525,134,RED RETROSPOT MINI CASES,10,12/1/2010 12:54,7.95,16,United Kingdom,1.0
536527,135,SET OF 6 T-LIGHTS SANTA,6,12/1/2010 13:04,2.95,17,Germany,1.0
536527,136,ROTATING SILVER ANGELS T-LIGHT HLDR,6,12/1/2010 13:04,2.55,17,Germany,1.0
536527,137,MULTI COLOUR SILVER T-LIGHT HOLDER,12,12/1/2010 13:04,0.85,17,Germany,1.0
536527,138,5 HOOK HANGER MAGIC TOADSTOOL,12,12/1/2010 13:04,1.65,17,Germany,1.0
536527,139,3 HOOK HANGER MAGIC GARDEN,12,12/1/2010 13:04,1.95,17,Germany,1.0
536527,140,5 HOOK HANGER RED MAGIC TOADSTOOL,12,12/1/2010 13:04,1.65,17,Germany,1.0
536527,141,ASSORTED COLOUR LIZARD SUCTION HOOK,24,12/1/2010 13:04,0.42,17,Germany,1.0
536527,142,JUMBO BAG WOODLAND ANIMALS,10,12/1/2010 13:04,1.95,17,Germany,1.0
536527,143,JUMBO BAG OWLS,10,12/1/2010 13:04,1.95,17,Germany,1.0
536527,79,HOT WATER BOTTLE BABUSHKA ,4,12/1/2010 13:04,4.65,17,Germany,1.0
536527,119,HOMEMADE JAM SCENTED CANDLES,12,12/1/2010 13:04,1.45,17,Germany,1.0
536527,144,CHILDREN'S CIRCUS PARADE MUG,12,12/1/2010 13:04,1.65,17,Germany,1.0
536527,145,PACK 3 FIRE ENGINE/CAR PATCHES,12,12/1/2010 13:04,1.25,17,Germany,1.0
536527,146,PICTURE DOMINOES,12,12/1/2010 13:04,1.45,17,Germany,1.0
536533,147,RETROSPOT RED WASHING UP GLOVES,6,12/1/2010 13:31,2.1,18,United Kingdom,1.0
536533,148,POLKADOT PEN,48,12/1/2010 13:31,0.85,18,United Kingdom,1.0
536533,149,DECORATIVE PLANT POT WITH FRIEZE,2,12/1/2010 13:31,7.95,18,United Kingdom,1.0
536533,150,FRENCH BLUE METAL DOOR SIGN 5,20,12/1/2010 13:31,1.25,18,United Kingdom,1.0
536533,151,CHEST OF DRAWERS GINGHAM HEART ,3,12/1/2010 13:31,16.95,18,United Kingdom,1.0
536533,152,RED RETROSPOT CAKE STAND,1,12/1/2010 13:31,10.95,18,United Kingdom,1.0
536535,116,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,3,12/1/2010 13:38,4.95,19,United Kingdom,1.0
536535,153,JOY WOODEN BLOCK LETTERS,3,12/1/2010 13:38,4.95,19,United Kingdom,1.0
536535,154,NOEL WOODEN BLOCK LETTERS ,3,12/1/2010 13:38,5.95,19,United Kingdom,1.0
536535,155,PEACE WOODEN BLOCK LETTERS,3,12/1/2010 13:38,6.95,19,United Kingdom,1.0
536535,62,RETROSPOT HEART HOT WATER BOTTLE,3,12/1/2010 13:38,4.95,19,United Kingdom,1.0
536535,123,LOVEBIRD HANGING DECORATION WHITE ,12,12/1/2010 13:38,0.85,19,United Kingdom,1.0
536535,156,DOORMAT FANCY FONT HOME SWEET HOME,2,12/1/2010 13:38,7.95,19,United Kingdom,1.0
536535,157,DOORMAT HEARTS,2,12/1/2010 13:38,7.95,19,United Kingdom,1.0
536535,158,DOORMAT RED RETROSPOT,2,12/1/2010 13:38,7.95,19,United Kingdom,1.0
536535,159,RETROSPOT CHILDRENS APRON,8,12/1/2010 13:38,1.95,19,United Kingdom,1.0
536535,160,10 COLOUR SPACEBOY PEN,24,12/1/2010 13:38,0.85,19,United Kingdom,1.0
536535,161,OFFICE MUG WARMER BLACK+SILVER ,6,12/1/2010 13:38,2.95,19,United Kingdom,1.0
536536,62,RETROSPOT HEART HOT WATER BOTTLE,3,12/1/2010 13:45,4.95,20,United Kingdom,1.0
536536,55,ASSORTED COLOUR BIRD ORNAMENT,80,12/1/2010 13:45,1.69,20,United Kingdom,1.0
536536,162,SET OF 2 CHRISTMAS DECOUPAGE CANDLE,12,12/1/2010 13:45,1.25,20,United Kingdom,1.0
536559,163,ANT WHITE WIRE HEART SPIRAL,10,12/1/2010 14:54,3.95,21,United Kingdom,1.0
536559,164,"FEATHER PEN,COAL BLACK",24,12/1/2010 14:54,0.85,21,United Kingdom,1.0
536559,165,"FEATHER PEN,LIGHT PINK",12,12/1/2010 14:54,0.85,21,United Kingdom,1.0
536559,166,"FEATHER PEN,HOT PINK",12,12/1/2010 14:54,0.85,21,United Kingdom,1.0
536559,167,DOORMAT AIRMAIL ,10,12/1/2010 14:54,6.75,21,United Kingdom,1.0
536559,168,NUMBER TILE COTTAGE GARDEN 8,1,12/1/2010 14:54,1.95,21,United Kingdom,1.0
536559,169,BIRTHDAY PARTY CORDON BARRIER TAPE,36,12/1/2010 14:54,1.25,21,United Kingdom,1.0
536560,29,CHILLI LIGHTS,48,12/1/2010 15:00,4.25,22,United Kingdom,1.0
536560,170,DOORMAT TOPIARY,10,12/1/2010 15:00,6.75,22,United Kingdom,1.0
536560,171,DOORMAT 3 SMILEY CATS,10,12/1/2010 15:00,6.75,22,United Kingdom,1.0
536560,21,JAM MAKING SET WITH JARS,12,12/1/2010 15:00,3.75,22,United Kingdom,1.0
536560,172,BREAD BIN DINER STYLE IVORY,4,12/1/2010 15:00,14.95,22,United Kingdom,1.0
536560,173,BREAD BIN DINER STYLE RED ,4,12/1/2010 15:00,14.95,22,United Kingdom,1.0
536560,174,RECIPE BOX BLUE SKETCHBOOK DESIGN,6,12/1/2010 15:00,2.95,22,United Kingdom,1.0
536560,66,TRAVEL SEWING KIT,10,12/1/2010 15:00,1.65,22,United Kingdom,1.0
536560,160,10 COLOUR SPACEBOY PEN,96,12/1/2010 15:00,0.85,22,United Kingdom,1.0
536560,175,MAGNETS PACK OF 4 VINTAGE COLLAGE,12,12/1/2010 15:00,1.25,22,United Kingdom,1.0
536560,176,MAGNETS PACK OF 4 HOME SWEET HOME,12,12/1/2010 15:00,1.25,22,United Kingdom,1.0
536560,177,MAGNETS PACK OF 4 CHILDHOOD MEMORY,12,12/1/2010 15:00,1.25,22,United Kingdom,1.0
536560,158,DOORMAT RED RETROSPOT,20,12/1/2010 15:00,6.75,22,United Kingdom,1.0
536566,178,RED STRIPE CERAMIC DRAWER KNOB,6,12/1/2010 15:21,1.25,23,United Kingdom,1.0
536566,179,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,10,12/1/2010 15:21,1.25,23,United Kingdom,1.0
536566,180,BLUE DRAWER KNOB ACRYLIC EDWARDIAN,9,12/1/2010 15:21,1.25,23,United Kingdom,1.0
536566,181,PINK DRAWER KNOB ACRYLIC EDWARDIAN,20,12/1/2010 15:21,1.25,23,United Kingdom,1.0
536566,182,RED DRAWER KNOB ACRYLIC EDWARDIAN,36,12/1/2010 15:21,1.25,23,United Kingdom,1.0
536566,183,GREEN DRAWER KNOB ACRYLIC EDWARDIAN,12,12/1/2010 15:21,1.25,23,United Kingdom,1.0
536575,184,UNION JACK FLAG PASSPORT COVER ,72,12/1/2010 16:01,1.69,24,United Kingdom,1.0
536575,185,CREAM SLICE FLANNEL PINK SPOT ,72,12/1/2010 16:01,2.55,24,United Kingdom,1.0
536575,186,STRAWBERRY CERAMIC TRINKET BOX,144,12/1/2010 16:01,1.25,24,United Kingdom,1.0
536575,187,PINK HEART SHAPE EGG FRYING PAN,72,12/1/2010 16:01,1.25,24,United Kingdom,1.0
536575,28,JUMBO BAG RED RETROSPOT,70,12/1/2010 16:01,1.65,24,United Kingdom,1.0
536575,1,WHITE HANGING HEART T-LIGHT HOLDER,128,12/1/2010 16:01,2.55,24,United Kingdom,1.0
536575,188,EDWARDIAN PARASOL PINK,48,12/1/2010 16:01,4.6,24,United Kingdom,1.0
536575,189,LADS ONLY TISSUE BOX,252,12/1/2010 16:01,1.25,24,United Kingdom,1.0
536577,190,LUNCH BAG RED RETROSPOT,60,12/1/2010 16:13,1.45,24,United Kingdom,2.0
536577,186,STRAWBERRY CERAMIC TRINKET BOX,144,12/1/2010 16:13,1.25,24,United Kingdom,2.0
536577,191,CERAMIC STRAWBERRY CAKE MONEY BANK,144,12/1/2010 16:13,1.25,24,United Kingdom,2.0
536577,192,FELTCRAFT BUTTERFLY HEARTS,40,12/1/2010 16:13,1.25,24,United Kingdom,2.0
536578,79,HOT WATER BOTTLE BABUSHKA ,12,12/1/2010 16:15,4.65,25,United Kingdom,1.0
536578,71,CHICK GREY HOT WATER BOTTLE,8,12/1/2010 16:15,3.45,25,United Kingdom,1.0
536578,60,HAND WARMER OWL DESIGN,24,12/1/2010 16:15,2.1,25,United Kingdom,1.0
536578,59,HAND WARMER SCOTTY DOG DESIGN,24,12/1/2010 16:15,2.1,25,United Kingdom,1.0
536578,193,HAND WARMER BABUSHKA DESIGN,24,12/1/2010 16:15,2.1,25,United Kingdom,1.0
536578,15,ALARM CLOCK BAKELIKE GREEN,4,12/1/2010 16:15,3.75,25,United Kingdom,1.0
536578,194,ALARM CLOCK BAKELIKE PINK,4,12/1/2010 16:15,3.75,25,United Kingdom,1.0
536578,74,ALARM CLOCK BAKELIKE ORANGE,4,12/1/2010 16:15,3.75,25,United Kingdom,1.0
536580,195,GINGERBREAD MAN COOKIE CUTTER,12,12/1/2010 16:17,1.25,25,United Kingdom,2.0
536580,196,3 TRADITIONAL COOKIE CUTTERS  SET,6,12/1/2010 16:17,2.1,25,United Kingdom,2.0
536580,197,SPACEBOY CHILDRENS EGG CUP,12,12/1/2010 16:17,1.25,25,United Kingdom,2.0
536580,198,SOLDIERS EGG CUP ,12,12/1/2010 16:17,1.25,25,United Kingdom,2.0
536580,199,CHILDRENS SPACEBOY MUG,12,12/1/2010 16:17,1.65,25,United Kingdom,2.0
536580,200,CHILDRENS DOLLY GIRL MUG,12,12/1/2010 16:17,1.65,25,United Kingdom,2.0
536586,173,BREAD BIN DINER STYLE RED ,8,12/1/2010 16:25,14.95,26,United Kingdom,1.0
